TYPE,ZINC
Pregnant nonvegetarians,185
Pregnant nonvegetarians,189
Pregnant nonvegetarians,187
Pregnant nonvegetarians,181
Pregnant nonvegetarians,150
Pregnant nonvegetarians,176
Pregnant vegetarians,171
Pregnant vegetarians,174
Pregnant vegetarians,202
Pregnant vegetarians,171
Pregnant vegetarians,207
Pregnant vegetarians,125
Pregnant vegetarians,189
Pregnant vegetarians,179
Pregnant vegetarians,163
Pregnant vegetarians,174
Pregnant vegetarians,184
Pregnant vegetarians,186
Nonpregnant vegetarians,210
Nonpregnant vegetarians,139
Nonpregnant vegetarians,172
Nonpregnant vegetarians,198
Nonpregnant vegetarians,177
