Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,1986/2/14,1,Surface Water,29,N/A,N/A,8.8,0.92,N/A,4.6,N/A,19.4,57,N/A,N/A,26.9,N/A,8.1,N/A,N/A,N/A,110,110,N/A,114,N/A,1.5
Deep Bay,DM1,1986/2/14,1,Middle Water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.9,N/A,N/A,N/A,23.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,N/A,N/A
Deep Bay,DM1,1986/2/14,1,Bottom Water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.8,N/A,N/A,N/A,24.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118,N/A,N/A
Deep Bay,DM1,1986/5/7,1,Surface Water,4.5,N/A,N/A,38,1.4,2.95,2.4,N/A,26.3,26,N/A,N/A,17.6,<0.2,7.6,N/A,0.15,0.4,780,560,3.1,43,N/A,2.3
Deep Bay,DM1,1986/8/7,1,Surface Water,7.6,1.5,0.033,13,0.45,1.2,0.9,0.57,30.8,10,0.7,N/A,14.1,3.3,8.2,0.279,0.024,0.279,30,30,6.3,91,0.27,2.8
Deep Bay,DM1,1986/10/3,1,Surface Water,4,2.5,0.006,40,0.64,1.94,1.5,0.6,25.8,18,4.3,N/A,22.2,<0.2,7.9,0.38,0.16,0.279,300,270,5.1,71,0.16,1.1
Deep Bay,DM1,1986/12/18,1,Surface Water,3.1,11,0.043,59,2.1,4.91,4.2,4.61,19.3,78,5,0.3,24.8,2.8,7.6,1.1,0.589,0.119,38000,38000,3.4,45,3.899,4
Deep Bay,DM1,1987/2/12,1,Surface Water,1.1,3,0.001,21,2.6,5.95,1.8,4.19,21.5,15,4.6,N/A,24.5,1.2,7.4,0.85,0.55,3.6,1300,1300,3.6,48,0.038,2.4
Deep Bay,DM1,1987/4/30,1,Surface Water,<0.2,1.5,0.001,25.3,0.59,2.08,1.1,0.99,25.7,13,4.9,N/A,17.9,6.8,7.8,0.479,0.02,0.96,20,10,5.1,75,0.008,1.5
Deep Bay,DM1,1987/4/30,1,Bottom Water,2.9,2,0.02,25.4,0.59,2.12,0.99,1.82,25.5,15,4.5,N/A,18.5,4.9,7.8,0.44,0.033,1.1,90,80,5.2,77,0.69,1.4
Deep Bay,DM1,1987/6/11,1,Surface Water,3.2,2,0.015,18,0.53,1.27,1.2,0.97,25.9,5.5,6.1,N/A,15.4,0.6,7.5,0.52,0.02,0.053,3700,3500,4.8,65,0.899,1.4
